| 序号  | 语言       | 音色 ID (Voice ID)                            | 音色名称 (Voice Name)         |
| :-- | :------- | :------------------------------------------ | :------------------------ |
| 1   | 中文 (普通话) | `male-qn-qingse`                            | 青涩青年音色                    |
| 2   | 中文 (普通话) | `male-qn-jingying`                          | 精英青年音色                    |
| 3   | 中文 (普通话) | `male-qn-badao`                             | 霸道青年音色                    |
| 4   | 中文 (普通话) | `male-qn-daxuesheng`                        | 青年大学生音色                   |
| 5   | 中文 (普通话) | `female-shaonv`                             | 少女音色                      |
| 6   | 中文 (普通话) | `female-yujie`                              | 御姐音色                      |
| 7   | 中文 (普通话) | `female-chengshu`                           | 成熟女性音色                    |
| 8   | 中文 (普通话) | `female-tianmei`                            | 甜美女性音色                    |
| 9   | 中文 (普通话) | `male-qn-qingse-jingpin`                    | 青涩青年音色-beta               |
| 10  | 中文 (普通话) | `male-qn-jingying-jingpin`                  | 精英青年音色-beta               |
| 11  | 中文 (普通话) | `male-qn-badao-jingpin`                     | 霸道青年音色-beta               |
| 12  | 中文 (普通话) | `male-qn-daxuesheng-jingpin`                | 青年大学生音色-beta              |
| 13  | 中文 (普通话) | `female-shaonv-jingpin`                     | 少女音色-beta                 |
| 14  | 中文 (普通话) | `female-yujie-jingpin`                      | 御姐音色-beta                 |
| 15  | 中文 (普通话) | `female-chengshu-jingpin`                   | 成熟女性音色-beta               |
| 16  | 中文 (普通话) | `female-tianmei-jingpin`                    | 甜美女性音色-beta               |
| 17  | 中文 (普通话) | `clever_boy`                                | 聪明男童                      |
| 18  | 中文 (普通话) | `cute_boy`                                  | 可爱男童                      |
| 19  | 中文 (普通话) | `lovely_girl`                               | 萌萌女童                      |
| 20  | 中文 (普通话) | `cartoon_pig`                               | 卡通猪小琪                     |
| 21  | 中文 (普通话) | `bingjiao_didi`                             | 病娇弟弟                      |
| 22  | 中文 (普通话) | `junlang_nanyou`                            | 俊朗男友                      |
| 23  | 中文 (普通话) | `chunzhen_xuedi`                            | 纯真学弟                      |
| 24  | 中文 (普通话) | `lengdan_xiongzhang`                        | 冷淡学长                      |
| 25  | 中文 (普通话) | `badao_shaoye`                              | 霸道少爷                      |
| 26  | 中文 (普通话) | `tianxin_xiaoling`                          | 甜心小玲                      |
| 27  | 中文 (普通话) | `qiaopi_mengmei`                            | 俏皮萌妹                      |
| 28  | 中文 (普通话) | `wumei_yujie`                               | 妩媚御姐                      |
| 29  | 中文 (普通话) | `diadia_xuemei`                             | 嗲嗲学妹                      |
| 30  | 中文 (普通话) | `danya_xuejie`                              | 淡雅学姐                      |
| 31  | 中文 (普通话) | `Chinese (Mandarin)_Reliable_Executive`     | 沉稳高管                      |
| 32  | 中文 (普通话) | `Chinese (Mandarin)_News_Anchor`            | 新闻女声                      |
| 33  | 中文 (普通话) | `Chinese (Mandarin)_Mature_Woman`           | 傲娇御姐                      |
| 34  | 中文 (普通话) | `Chinese (Mandarin)_Unrestrained_Young_Man` | 不羁青年                      |
| 35  | 中文 (普通话) | `Arrogant_Miss`                             | 嚣张小姐                      |
| 36  | 中文 (普通话) | `Robot_Armor`                               | 机械战甲                      |
| 37  | 中文 (普通话) | `Chinese (Mandarin)_Kind-hearted_Antie`     | 热心大婶                      |
| 38  | 中文 (普通话) | `Chinese (Mandarin)_HK_Flight_Attendant`    | 港普空姐                      |
| 39  | 中文 (普通话) | `Chinese (Mandarin)_Humorous_Elder`         | 搞笑大爷                      |
| 40  | 中文 (普通话) | `Chinese (Mandarin)_Gentleman`              | 温润男声                      |
